term_str,x,y,n,max_pos,logn
abandoned,-4.8292203,63.321587,81.0,VBN,4.394449154672439
able,-22.979696,29.881908,294.0,JJ,5.683579767338681
abruptly,5.4529366,32.89485,54.0,RB,3.9889840465642745
absence,-21.871826,-40.346817,100.0,NN,4.605170185988092
accept,-63.28042,0.050642755,69.0,VB,4.23410650459726
accompanied,-0.8454701,58.259483,63.0,VBN,4.143134726391533
according,-71.4924,-15.745204,59.0,VBG,4.07753744390572
account,-24.876673,-32.702866,188.0,NN,5.236441962829949
accustomed,-24.830317,31.24317,70.0,VBN,4.248495242049359
achilles,-5.039756,-1.5786186,379.0,NNP,5.937536205082426
acquaintance,-22.291553,-40.691975,60.0,NN,4.0943445622221
act,-39.72118,-36.048225,116.0,NN,4.7535901911063645
action,-15.636458,-32.67186,87.0,NN,4.465908118654584
actually,-35.373436,13.672776,77.0,RB,4.343805421853684
add,-62.284218,-0.44899204,60.0,VB,4.0943445622221
added,-20.516775,70.39438,235.0,VBD,5.459585514144159
address,-65.06861,-20.41621,57.0,NN,4.04305126783455
addressed,-6.9264655,54.242516,66.0,VBD,4.189654742026425
admiration,7.0812593,-19.742529,58.0,NN,4.060443010546419
admit,-59.373463,5.3311357,85.0,VB,4.442651256490317
admitted,-21.243967,62.55726,145.0,NN,4.976733742420574
advanced,9.758722,57.777584,81.0,VBD,4.394449154672439
adventure,2.100259,-20.884666,64.0,NN,4.1588830833596715
adventures,-4.914296,-53.48171,54.0,NNS,3.9889840465642745
advice,-33.03646,-38.77283,89.0,NN,4.48863636973214
affection,-19.313217,-30.582218,75.0,NN,4.31748811353631
afraid,-26.25734,27.60299,453.0,JJ,6.115892125483034
afternoon,28.56328,-58.9761,161.0,NN,5.081404364984463
afterward,0.6152634,28.715164,118.0,RB,4.770684624465665
age,-22.18466,-41.601116,335.0,NN,5.814130531825066
aged,15.688439,6.07576,107.0,NNP,4.672828834461906
ago,16.42939,-65.24004,378.0,RB,5.934894195619588
agony,3.6596606,-20.260187,69.0,NN,4.23410650459726
agree,-59.076946,8.387669,70.0,VBP,4.248495242049359
agreed,-20.982035,64.02195,192.0,NN,5.2574953720277815
ah,-28.856543,6.9694843,291.0,NN,5.673323267171493
ahead,50.643787,20.462887,244.0,RB,5.497168225293202
aid,-29.5069,-43.68216,185.0,NN,5.220355825078324
aint,-31.998552,42.575348,93.0,VBP,4.532599493153256
air,42.577484,0.41819078,829.0,NN,6.720220155135295
alarm,5.583584,-18.739616,66.0,NN,4.189654742026425
alas,-7.584541,28.092152,103.0,NN,4.634728988229636
