term_str,x,y,n,max_pos,logn
able,24.623459,27.408487,294.0,JJ,5.683579767338681
absence,13.684974,-29.137094,100.0,NN,4.605170185988092
account,20.088657,-24.987366,188.0,NN,5.236441962829949
achilles,3.0024807,-3.4684744,379.0,NNP,5.937536205082426
act,4.780595,-18.45289,116.0,NN,4.7535901911063645
action,10.861077,-17.336117,87.0,NN,4.465908118654584
added,29.304958,33.8629,235.0,VBD,5.459585514144159
addressed,6.9431443,38.524834,66.0,VBD,4.189654742026425
advanced,-3.2519932,44.17269,81.0,VBD,4.394449154672439
advice,25.815779,-29.827522,89.0,NN,4.48863636973214
affection,16.536524,-24.497175,75.0,NN,4.31748811353631
afraid,26.946766,13.791389,453.0,JJ,6.115892125483034
afternoon,-34.298576,-40.911663,161.0,NN,5.081404364984463
age,8.131167,-34.58943,335.0,NN,5.814130531825066
ago,-2.8640437,23.280869,378.0,RB,5.934894195619588
ah,39.816315,22.567715,291.0,NN,5.673323267171493
ahead,-11.490859,25.51512,244.0,RB,5.497168225293202
aid,13.725905,-36.674423,185.0,NN,5.220355825078324
air,-45.290115,9.616378,829.0,NN,6.720220155135295
alarm,-3.4438517,-12.346978,66.0,NN,4.189654742026425
alas,25.587193,32.264282,103.0,NN,4.634728988229636
alive,27.580961,4.6207333,268.0,JJ,5.5909869805108565
allow,55.092056,3.9779167,111.0,VB,4.709530201312334
allowed,24.017242,28.057371,148.0,VBN,4.997212273764115
aloud,5.986586,19.265892,132.0,NN,4.882801922586371
amid,-43.932487,37.797615,66.0,IN,4.189654742026425
amidst,-43.672523,38.068745,151.0,IN,5.017279836814924
ample,-31.07098,-13.953642,83.0,JJ,4.418840607796598
ancient,-6.943221,-39.50993,174.0,JJ,5.159055299214529
anger,3.1637588,-26.439056,157.0,NN,5.056245805348308
angry,16.313877,9.779238,303.0,JJ,5.713732805509369
anguish,8.882565,-30.314112,61.0,NN,4.110873864173311
answer,38.676952,-5.695673,560.0,NN,6.327936783729195
answered,32.683014,33.374348,813.0,VBD,6.70073110954781
anxious,15.876635,10.190397,165.0,JJ,5.10594547390058
apartment,-20.417807,-3.9552824,61.0,NN,4.110873864173311
appear,11.045222,-9.7758255,132.0,VB,4.882801922586371
appearance,11.94916,-27.58223,151.0,NN,5.017279836814924
appeared,8.537848,50.706997,338.0,VBD,5.823045895483019
appears,8.021946,-10.971213,66.0,VBZ,4.189654742026425
approach,-22.052538,13.74801,102.0,NN,4.624972813284271
approached,3.2387588,38.85838,100.0,VBD,4.605170185988092
approaching,-18.742502,-16.671352,68.0,VBG,4.219507705176107
arm,-35.963417,-23.62937,824.0,NN,6.714170529909472
armies,-11.849844,-39.144848,86.0,NNS,4.454347296253507
armour,-36.802242,-15.342488,84.0,NN,4.430816798843313
arms,-40.11936,-16.98517,1132.0,NNS,7.0317412587631285
arrived,6.1708717,48.85124,154.0,VBD,5.0369526024136295
arrow,-29.233067,-9.430764,218.0,NN,5.384495062789089
arrows,-40.25353,-11.706719,214.0,NNS,5.365976015021851
art,-0.70021176,-39.662712,125.0,NN,4.8283137373023015
aside,-31.504711,35.286194,329.0,RB,5.796057750765372
ask,55.388374,7.359368,597.0,VB,6.391917113392602
asked,30.603779,35.29212,1626.0,VBD,7.3938782901077555
asleep,-21.031519,29.077654,238.0,RB,5.472270673671475
aspect,-15.187781,-13.023116,62.0,NN,4.127134385045092
attempt,43.485497,-5.82848,99.0,NN,4.59511985013459
attend,8.637025,-14.049413,127.0,VB,4.844187086458591
attention,16.645807,-27.843193,163.0,NN,5.093750200806762
awake,8.758787,6.3438087,96.0,NN,4.564348191467836
aware,24.943254,11.796227,111.0,JJ,4.709530201312334
away,-29.337107,33.194386,2352.0,RB,7.763021309018518
awful,-17.571474,-17.760136,109.0,JJ,4.6913478822291435
ay,39.93183,23.132305,106.0,NN,4.663439094112067
bad,21.540108,-7.910188,440.0,JJ,6.0867747269123065
bade,-0.7733923,31.212208,70.0,VBD,4.248495242049359
band,-44.276123,-12.4058,116.0,NN,4.7535901911063645
bands,-10.961721,-37.593033,93.0,NN,4.532599493153256
bank,-40.084457,16.205826,182.0,NN,5.204006687076795
bare,-43.83745,-7.853862,192.0,NN,5.2574953720277815
battle,-47.40194,-4.4981775,595.0,NN,6.38856140554563
beadle,9.715689,-0.7899937,85.0,NN,4.442651256490317
bear,53.90316,-0.28548878,707.0,VB,6.561030665896573
bearing,-19.759233,-11.870083,92.0,NN,4.5217885770490405
beat,-18.276745,18.311016,203.0,NN,5.313205979041787
beautiful,-22.773674,2.191638,306.0,JJ,5.723585101952381
beauty,6.6265063,-32.721622,164.0,NN,5.099866427824199
bed,-34.580273,26.169024,941.0,NN,6.846943139585379
