doc_a,doc_b,corr–raw,cityblock–raw,cosine–raw,euclidean–l2,jaccard-l0,jensenshannon–l1
2,1,0.1292549460484691,2.6948468157785817,0.06428008548161945,0.3585528844720685,0.019201616978271854,0.1588716587603277
3,1,0.16467135167715818,2.806214972657094,0.08228438684366512,0.40567077006771135,0.017650025214321734,0.17730257211447112
3,2,0.1144132178998365,6.651375367552275,0.42919541692982577,0.9264938390834828,0.0960764587525151,0.3954122276237161
4,1,0.7507482868068036,6.702633293007805,0.5580857460547287,1.056490176059133,0.2669683257918552,0.46995070281763685
4,2,0.7566055673071436,6.399848119594178,0.5251787430398562,1.0248694970969296,0.1085,0.44177697734869914
4,3,0.7717108087803728,8.101119473779187,0.48501712267597685,0.9849031654695574,0.11161161161161161,0.4335196567807571
16,1,0.8798444367365243,7.5836567519309,0.47903732016015177,0.9788128729845679,0.083,0.4238417194875278
16,2,0.8956519688011253,6.490708409625897,0.49736472482607463,0.9973612433076327,0.09154577288644322,0.4341712499973246
16,3,0.8922534829045962,8.363868252278476,0.5038089811701614,1.003801754501516,0.19768028240040342,0.46159863349772706
16,4,0.7872612257213769,10.124618313703959,0.6158190274323783,1.1097918970981706,0.26713709677419356,0.5292193685283398
730,1,0.9108839918483438,6.64163898026794,0.5582430196877501,1.056639029837295,0.26495726495726496,0.4693209867667473
730,2,0.9476099944606573,2.455606581808546,0.05556097913891156,0.33334960368631933,0.012632642748863061,0.14267590224598312
730,3,0.9485441720238382,6.950274437442255,0.424606643591275,0.9215276920323928,0.09794073329984933,0.3947339123048409
730,4,0.8311341908587071,7.109066489214964,0.5594657612192742,1.0577955957738472,0.26683417085427136,0.47065992150206465
730,16,0.7041327342147681,6.934830530800888,0.5354541289186633,1.0348469731498111,0.1075,0.44716649832545724
768,1,0.9284317797004349,8.470163642685273,0.49579597529069563,0.9957871010318379,0.11155577788894447,0.4389454606539372
768,2,0.9728680320333309,7.967502197295475,0.4865433157453395,0.9864515352974406,0.082,0.42864495075757053
768,3,0.9621140266801029,7.005722092974182,0.5008010390130533,1.0008007184380452,0.09054527263631816,0.43709777980581843
768,4,0.798963515002584,8.425892794793594,0.47929104795973954,0.9790720585939929,0.19667170953101362,0.4511898731699216
768,16,0.7326221532429948,10.327463036220383,0.5968993540533154,1.0926109591737718,0.2617483577564427,0.5203020694321285
768,730,0.527749499898799,7.045716181111857,0.5596123119699336,1.057934130246239,0.2648241206030151,0.46968361442454193
1260,1,0.9433704165783832,6.897704221604165,0.43525335147558974,0.9330094870638677,0.09337349397590361,0.4029945531069409
1260,2,0.9836798128011277,6.702485410532199,0.5598541746364409,1.0581627234376014,0.2639237330657301,0.4720250305366176
1260,3,0.9846619708032921,6.547353613440706,0.5390884930490065,1.038353016126025,0.102,0.45107247880141416
1260,4,0.739075924828756,8.307843676404556,0.4939477235790565,0.9939292968607537,0.10605302651325663,0.4409507557052774
1260,16,0.725076160608448,7.798362139232024,0.4908555193374927,0.9908133218094047,0.0765,0.43259313825188195
1260,730,0.5055188256123185,6.682930536075163,0.5070979975349911,1.0070729839837738,0.08504252126063032,0.4418928490177068
1260,768,0.3993254196536288,8.212557804722774,0.5008056508612948,1.00080532658584,0.19476597886260694,0.45422417275606447
1400,1,0.9232602176311296,10.072328660969754,0.6174861973652335,1.1112931182772925,0.25970751386787694,0.5270691323060754
1400,2,0.9513913158923128,6.628065608621441,0.5592921119028887,1.0576314215291533,0.26191670847967885,0.47103846454851594
1400,3,0.9568199754312751,6.684073297902234,0.5341511993672727,1.0335871510107622,0.26854754440961337,0.4515805125153437
1400,4,0.7777701596765367,6.482629185532292,0.5225291871957962,1.0222809664625434,0.1377551020408163,0.42936403277847396
1400,16,0.7159976755099715,7.965483389789906,0.46573898133716063,0.9651310598433358,0.13524590163934427,0.4195244819482259
1400,730,0.38432463460215605,7.1597199409976415,0.4224564274492004,0.9191914136339611,0.12036566785170137,0.3986008303122509
1400,768,0.5397474552730523,6.490958499207833,0.464004713879438,0.9633324596207045,0.1271617497456765,0.41848016414343303
1400,1260,0.4590559552879513,8.466120810446045,0.5499120209123026,1.0487249600465334,0.22078593588417786,0.4660858811561533
1727,1,0.757993293591033,10.537204847846672,0.6744074788197655,1.161384930864668,0.29726944873776406,0.5451384036737718
1727,2,0.7261052396722654,6.640421057310272,0.5343610207523612,1.0337901341687878,0.2673629242819843,0.4517014972414348
1727,3,0.7592072844476235,5.1186795857284455,0.48134882650119704,0.9811715716440192,0.25039619651347067,0.4198272289128934
1727,4,0.7857344454317959,7.302442333904547,0.4751411170595502,0.9748242067773565,0.2556788166930798,0.4300288615938181
1727,16,0.781576008242511,6.692296179429981,0.46415411930132233,0.9634875394122356,0.24752475247524752,0.4164771287999585
1727,730,0.8167940301492415,5.235184585677036,0.4719093929267243,0.9715033637890544,0.25196027182435965,0.422018551953082
1727,768,0.7151358083080249,7.921016332094691,0.5787369716009855,1.0758596298783456,0.319068255687974,0.48819011051128613
1727,1260,0.7652692174220775,10.14629548086271,0.7444647467008478,1.2202169861961825,0.3875,0.5867213610962619
1727,1400,0.7480439462393087,0.21294162602251898,0.001912997076455536,0.06185462111201413,0.00535475234270415,0.03743261485532493
6130,1,0.9158299798365329,5.822443399669302,0.31269821809950615,0.7908201035627583,0.09628466771323914,0.3126375528750644
6130,2,0.8970993685022951,5.3424845821185,0.2949952281287417,0.7681083623145127,0.08738366080661841,0.30799409091551205
6130,3,0.9270828617329145,3.546549785754623,0.23282175116796477,0.682380760525917,0.08433107756376887,0.2806933023987585
6130,4,0.9488082378540198,7.939565132483146,0.5745784235708051,1.0719873353457159,0.22457408363448633,0.474169919411145
6130,16,0.9907140590997103,9.852419613305562,0.7243109150909213,1.2035870679688456,0.2982998454404946,0.5613654877206158
6130,730,1.014291202545781,5.031187633059284,0.47795040641245035,0.9777018015861993,0.249208025343189,0.4176674892912548
6130,768,1.0296089248605436,5.065571476638922,0.20873275364625643,0.6461157073562844,0.09156751163993793,0.27000585419331724
6130,1260,0.9743421190304847,5.823408695973163,0.2981424119138153,0.7721948095057555,0.10531750129065565,0.3217406366462099
6130,1400,1.0612816735424218,8.688633068415642,0.4824669790441951,0.9823105201963326,0.2223950233281493,0.448634716628548
6130,1727,0.7747047721193202,11.852360176826584,0.6974342958060515,1.1810455501851331,0.29554865424430643,0.5637022409845646
26654,1,0.8802890009118505,7.261920038300076,0.47451125110924575,0.9741778596429357,0.25356576862123614,0.42845119441718216
26654,2,0.8960984336839825,5.240287351834008,0.24807138137838958,0.7043740219207248,0.08666666666666667,0.30571137523134717
26654,3,0.8915027221048856,8.538342087691124,0.5081977827884441,1.0081644536368497,0.2038085434894493,0.44826972262683
26654,4,0.7877052687969729,10.762914164642034,0.6523928277178359,1.1422721459598273,0.2702423929860753,0.5347993798927005
26654,16,0.002645950099360528,6.647411284779146,0.46357020733233145,0.962881308710821,0.24544033350703492,0.4153085235209727
26654,730,0.6992306145243685,7.795618563664066,0.5102569065399447,1.0102048371889185,0.2117465224111283,0.45984276191138124
26654,768,0.7317660345040672,10.271389131401556,0.7299011008519016,1.2082227450697174,0.2818134981968058,0.5728176742950944
26654,1260,0.7242779262077028,5.171051762339939,0.47012958880743605,0.969669622920545,0.2507836990595611,0.42059956238841634
26654,1400,0.7133600089286912,10.37974733786471,0.594158019477903,1.090099095933854,0.2839711591791459,0.5175990257183698
26654,1727,0.7803009378039142,7.859302134832095,0.5777290759739929,1.0749223934535859,0.31690140845070425,0.48697895325720486
26654,6130,0.9912431850233141,10.064711483859822,0.744780438210644,1.2204756762923576,0.3862031504617056,0.5864062662464526
