term_str,x,y,n,max_pos,logn
abandoned,-12.670891,-17.614836,81.0,VBN,4.394449154672439
able,32.25127,-20.070715,294.0,JJ,5.683579767338681
admitted,17.488136,-41.336803,145.0,NN,4.976733742420574
afraid,29.014978,-17.15057,453.0,JJ,6.115892125483034
afterward,9.287635,-28.71055,118.0,RB,4.770684624465665
age,12.646528,23.029842,335.0,NN,5.814130531825066
ago,-3.202481,-21.403152,378.0,RB,5.934894195619588
agreed,16.921856,-41.357937,192.0,NN,5.2574953720277815
ah,22.447763,1.674862,291.0,NN,5.673323267171493
ahead,-34.56127,-30.75895,244.0,RB,5.497168225293202
air,-31.419004,24.87195,829.0,NN,6.720220155135295
ale,-30.780174,34.521206,120.0,NN,4.787491742782046
alike,-1.9684944,3.9441667,115.0,RB,4.74493212836325
alive,24.58496,-19.529907,268.0,JJ,5.5909869805108565
allow,53.915295,-2.6898618,111.0,VB,4.709530201312334
allowed,32.50527,-20.24467,148.0,VBN,4.997212273764115
amidst,-36.97082,-23.804712,151.0,IN,5.017279836814924
ancient,-18.48465,8.757663,174.0,JJ,5.159055299214529
anger,-40.577896,9.584517,157.0,NN,5.056245805348308
angry,8.247166,-10.604768,303.0,JJ,5.713732805509369
announced,2.71847,-39.450047,125.0,VBD,4.8283137373023015
answer,32.823063,12.142323,560.0,NN,6.327936783729195
answered,19.206257,-44.383236,813.0,VBD,6.70073110954781
anxious,15.105388,-13.982605,165.0,JJ,5.10594547390058
apart,-34.561,-24.504026,166.0,RB,5.111987788356544
appeared,-18.66081,-29.045803,338.0,VBD,5.823045895483019
archers,-17.824448,35.117954,97.0,NNS,4.574710978503383
arm,-52.67132,18.160894,824.0,NN,6.714170529909472
armed,-11.444542,53.34336,75.0,VBN,4.31748811353631
armor,-47.29626,1.2064133,273.0,NN,5.60947179518496
armored,-37.15593,0.6238449,56.0,JJ,4.02535169073515
armory,-21.865025,16.326204,54.0,NN,3.9889840465642745
arms,-55.41635,6.0690885,1132.0,NNS,7.0317412587631285
army,-2.7139106,12.303396,149.0,NN,5.003946305945459
arrived,-1.2269149,-49.453938,154.0,VBD,5.0369526024136295
arrow,-49.73319,22.582224,218.0,NN,5.384495062789089
arrows,-16.521557,37.05382,214.0,NNS,5.365976015021851
arya,13.428575,-17.147219,1324.0,NNP,7.188412736496954
ashes,-28.197037,15.449905,95.0,NNS,4.553876891600541
aside,-32.720066,-35.608685,329.0,RB,5.796057750765372
ask,53.000458,-7.2424245,597.0,VB,6.391917113392602
asked,16.324272,-46.77111,1626.0,VBD,7.3938782901077555
asleep,-17.205917,-5.752021,238.0,RB,5.472270673671475
ate,0.8306293,-46.203335,138.0,VBP,4.927253685157205
atop,-37.46345,-25.12941,128.0,IN,4.852030263919617
attack,59.858654,16.69814,129.0,NN,4.859812404361672
away,-33.64803,-36.21109,2352.0,RB,7.763021309018518
axe,-49.85582,22.256573,216.0,NN,5.375278407684165
axes,-19.442183,38.15735,77.0,NNS,4.343805421853684
aye,22.226337,0.85723877,149.0,NN,5.003946305945459
babe,14.441101,21.828444,82.0,NN,4.406719247264253
baby,15.807046,22.706749,140.0,NN,4.941642422609304
backed,-14.791984,-44.258755,75.0,VBD,4.31748811353631
backward,-28.604778,-37.04216,91.0,NN,4.51085950651685
bad,10.856483,-7.777681,440.0,JJ,6.0867747269123065
badly,9.26985,-11.415419,74.0,RB,4.30406509320417
bald,-38.901184,-9.46662,79.0,NN,4.3694478524670215
bank,-18.138954,19.932354,182.0,NN,5.204006687076795
banner,-36.773663,31.609024,110.0,NN,4.700480365792417
bannermen,4.678818,40.80609,78.0,NNS,4.356708826689592
banners,-17.990711,35.934395,166.0,NNS,5.111987788356544
bare,-34.287666,-14.496285,192.0,NN,5.2574953720277815
bars,-29.065325,18.333717,95.0,NNS,4.553876891600541
bastard,18.307632,14.9288645,309.0,NN,5.733341276897746
bastards,0.017029189,33.32354,71.0,NNS,4.2626798770413155
battle,4.142503,24.006466,595.0,NN,6.38856140554563
battles,0.34965277,35.0478,79.0,NNS,4.3694478524670215
bay,-27.195004,14.327682,102.0,NN,4.624972813284271
bear,48.02703,-0.08322848,707.0,VB,6.561030665896573
beard,-49.49035,3.9415944,245.0,NN,5.501258210544727
beast,-5.2129774,20.887138,132.0,NN,4.882801922586371
beat,57.892082,7.705424,203.0,NN,5.313205979041787
beautiful,9.970101,-6.9487414,306.0,JJ,5.723585101952381
beauty,19.983856,6.1740294,164.0,NN,5.099866427824199
bed,-44.791454,22.58831,941.0,NN,6.846943139585379
bedchamber,-59.101757,13.124881,95.0,NN,4.553876891600541
beg,53.8768,-9.44291,151.0,VB,5.017279836814924
began,-12.595645,-54.73448,945.0,VBD,6.851184927493743
begin,50.41847,-0.9683479,137.0,VB,4.919980925828125
begun,6.306647,-53.78489,153.0,VBN,5.030437921392435
believe,48.170696,-6.902705,560.0,VBP,6.327936783729195
believed,10.428345,-48.58415,160.0,VBD,5.075173815233827
bells,-22.095955,33.936974,115.0,NNS,4.74493212836325
belly,-54.950977,12.507699,207.0,NN,5.332718793265369
belt,-52.28359,11.24617,137.0,NN,4.919980925828125
bench,-36.597057,17.096254,99.0,NN,4.59511985013459
bend,59.035423,15.824959,121.0,VB,4.795790545596741
beneath,-40.368027,-27.562992,901.0,IN,6.803505257608338
bent,-20.868961,-40.739594,220.0,NN,5.393627546352362
best,33.78663,-15.556487,845.0,JJS,6.739336627357174
better,43.239403,33.597878,1207.0,JJR,7.095893221097532
bid,18.730688,-49.32985,162.0,VB,5.087596335232384
big,6.0254745,-4.8152876,489.0,JJ,6.192362489474872
bigger,44.53695,35.72984,71.0,JJR,4.2626798770413155
bird,27.147583,26.706049,269.0,NN,5.594711379601839
birds,-2.2252557,36.864246,239.0,NNS,5.476463551931511
birth,12.477334,24.628967,140.0,NN,4.941642422609304
bit,-47.204704,20.023706,313.0,NN,5.746203190540153
bite,-46.853493,18.311169,112.0,NN,4.718498871295094
bitter,2.410249,-1.1835977,141.0,JJ,4.948759890378168
black,-47.638073,-6.2181225,2008.0,JJ,7.60489448081162
blade,-46.45998,15.972476,319.0,NN,5.765191102784844
blades,-19.999695,35.154675,80.0,NNS,4.382026634673881
blame,46.28037,-4.4264317,113.0,VB,4.727387818712341
blanket,-44.22276,10.784904,61.0,NN,4.110873864173311
blew,-14.470196,-34.18973,152.0,VBD,5.0238805208462765
blind,8.125438,-5.136813,205.0,NN,5.3230099791384085
blood,-28.310825,35.99535,1286.0,NN,7.1592919047975645
bloodriders,13.006715,40.75363,73.0,NNS,4.290459441148391
bloody,18.356838,24.615917,451.0,NN,6.111467339502679
blow,-10.142783,7.722714,270.0,NN,5.598421958998375
blowing,-25.653692,-9.110529,88.0,VBG,4.477336814478207
blue,-46.052845,-7.5130944,497.0,JJ,6.208590026096629
boar,-4.812233,19.619602,106.0,NN,4.663439094112067
boat,-26.834242,16.838388,188.0,NN,5.236441962829949
bodies,-17.704205,34.106697,96.0,NNS,4.564348191467836
body,-52.67863,12.706944,346.0,NN,5.846438775057725
boiled,-44.107193,-3.4729457,70.0,VBD,4.248495242049359
bone,-42.64354,1.0946507,133.0,NN,4.890349128221754
bones,-26.679798,35.29526,233.0,NNS,5.4510384535657
book,-4.4235663,18.786444,285.0,NN,5.652489180268651
boots,-56.424236,7.9241605,205.0,NNS,5.3230099791384085
bore,-12.346571,-24.733982,222.0,VBD,5.402677381872279
born,21.802017,-7.7817583,304.0,VBN,5.717027701406222
bound,-38.061516,1.782674,267.0,NN,5.58724865840025
bow,-47.822247,16.87236,300.0,NN,5.703782474656201
bowed,-25.935099,-46.840435,168.0,VBD,5.123963979403259
boy,28.867834,27.61114,1782.0,NN,7.485491608030754
boys,3.1301258,41.651054,600.0,NNS,6.396929655216146
bran,13.054063,-16.88719,1127.0,NNP,7.027314514039777
branches,-29.058195,18.851728,137.0,NNS,4.919980925828125
brave,15.522864,-3.486121,437.0,NN,6.07993319509559
bread,-33.455147,34.251705,310.0,NN,5.736572297479192
break,60.813732,9.453993,243.0,VB,5.493061443340548
breast,-54.02472,12.34387,392.0,NN,5.971261839790462
breastplate,-47.721504,8.540365,62.0,NN,4.127134385045092
breasts,-57.76398,9.176296,98.0,NNS,4.584967478670572
breath,-51.222164,12.647002,414.0,NN,6.025865973825314
breathing,-31.597263,-6.3860126,123.0,NN,4.812184355372417
breeches,-55.74896,7.438299,103.0,NNS,4.634728988229636
bride,18.76959,36.459953,104.0,NN,4.6443908991413725
bridge,-27.136389,17.840168,186.0,NN,5.225746673713202
bright,-45.966354,-8.432507,424.0,JJ,6.049733455231958
bring,60.60606,2.233816,613.0,VB,6.418364935936212
bringing,-7.575205,-14.493888,131.0,VBG,4.875197323201151
broad,-37.348053,-9.775906,235.0,JJ,5.459585514144159
broke,-14.334979,-52.78245,366.0,VBD,5.902633333401366
broken,-31.92921,-16.585278,472.0,JJ,6.156978985585555
bronze,-34.993546,1.7112657,161.0,NN,5.081404364984463
brother,23.09876,35.31303,1287.0,NN,7.160069207596127
brothers,11.303422,39.007538,709.0,NNS,6.5638555265321274
brought,-3.261796,-54.694927,957.0,VBD,6.863803391452954
brow,-53.158012,11.912009,168.0,NN,5.123963979403259
brown,-44.817757,-6.287688,342.0,JJ,5.834810737062605
brushed,-24.501589,-45.01533,102.0,VBD,4.624972813284271
built,-12.643332,-17.672714,163.0,VBN,5.093750200806762
buried,-38.42945,3.209856,123.0,VBN,4.812184355372417
burn,62.86716,8.361009,163.0,VB,5.093750200806762
burned,-30.23366,-18.900654,338.0,VBN,5.823045895483019
burning,-27.035969,4.151737,315.0,VBG,5.752572638825633
burnt,-17.911297,-16.511469,107.0,JJ,4.672828834461906
