term_str,n,tfidf_mean,df,dfidf,p,i,max_pos,n_pos,stop
abandoned,81,0.0019898860006358297,63,194.08484335333335,9.370325682443133e-05,13.381541282232169,VBN,7.0,0
able,294,0.0045074785486677775,203,282.7091285315219,0.00034010811736275075,11.52171894028043,JJ,4.0,0
abode,45,0.0013931207985650779,39,147.13099065198017,5.205736490246185e-05,14.229538188787119,NN,4.0,0
abroad,49,0.0013629462175015344,40,149.44254511487253,5.668468622712513e-05,14.106681441001585,RB,9.0,0
abruptly,54,0.0014032238318167994,53,176.49377721438677,6.246883788295422e-05,13.966503782953325,RB,7.0,0
absence,100,0.0026349841379515624,77,214.92279901894915,0.00011568303311658189,13.077535095342068,NN,3.0,0
absent,40,0.001208176183112048,37,142.39591921381836,4.627321324663276e-05,14.399463190229431,JJ,5.0,0
absolutely,48,0.001538696715656399,34,134.99798197130045,5.552785589595931e-05,14.136428784395637,RB,3.0,0
absurd,46,0.0010611614965041192,39,147.13099065198017,5.321419523362767e-05,14.19782932905978,JJ,8.0,0
accept,69,0.0018937130780133974,50,170.70677664922255,7.982129285044151e-05,13.612866828338625,VB,6.0,0
accepted,46,0.0013193579284104292,43,156.16425962645437,5.321419523362767e-05,14.19782932905978,VBD,6.0,0
accident,37,0.0011118376377377772,31,127.21765778354131,4.28027222531353e-05,14.511937919487844,NN,4.0,0
accompanied,63,0.001580132246870057,56,182.03566083928803,7.288031086344659e-05,13.744111361616877,VBN,3.0,0
accompany,44,0.0013399986780628583,37,142.39591921381836,5.090053457129603e-05,14.261959666479497,VB,4.0,0
according,59,0.0015366753288773422,52,174.59270424014036,6.825298953878332e-05,13.838748235754952,VBG,2.0,0
account,188,0.0038511360058656454,123,260.2036977426521,0.00021748410225917394,12.166802433439155,NN,5.0,0
accustomed,70,0.002024917904470666,62,192.43531556708263,8.097812318160733e-05,13.592108268171827,VBN,8.0,0
achaeans,61,0.0020358213118620394,21,97.97916029958873,7.056665020111496e-05,13.790653947553906,NNPS,3.0,0
ache,39,0.0011147361705889987,34,134.99798197130045,4.511638291546694e-05,14.435989066254544,NN,4.0,0
achilles,379,0.007505046251370542,29,121.80031110131651,0.00043843869551184536,11.1553372469457,NNP,9.0,0
acquaintance,60,0.0018628630891091274,46,162.5837692682995,6.940981986994914e-05,13.814500689508275,NN,5.0,0
acquainted,41,0.0012942235094190613,37,142.39591921381836,4.7430043577798574e-05,14.36383928049871,VBN,5.0,0
act,116,0.002788283286765785,86,226.3285192529087,0.00013419231841523498,12.863410289989222,NN,4.0,0
